"filename", "language", "JSON", "CSS", "PHP", "JavaScript", "XML", "Markdown", "SCSS", "comment", "blank", "total"
"f:\programming\projects\Rcomputer-project\back-end\resources\views\pages\products.blade.php", "PHP", 0, 0, 119, 0, 0, 0, 0, 0, 4, 123
"f:\programming\projects\Rcomputer-project\back-end\resources\views\pages\profile.blade.php", "PHP", 0, 0, 129, 0, 0, 0, 0, 0, 8, 137
"f:\programming\projects\Rcomputer-project\back-end\resources\views\sidebar\sidebar.blade.php", "PHP", 0, 0, 71, 0, 0, 0, 0, 0, 1, 72
"f:\programming\projects\Rcomputer-project\back-end\resources\views\vendor\mail\html\button.blade.php", "PHP", 0, 0, 24, 0, 0, 0, 0, 0, 1, 25
"f:\programming\projects\Rcomputer-project\back-end\resources\views\vendor\mail\html\footer.blade.php", "PHP", 0, 0, 11, 0, 0, 0, 0, 0, 1, 12
"f:\programming\projects\Rcomputer-project\back-end\resources\views\vendor\mail\html\header.blade.php", "PHP", 0, 0, 12, 0, 0, 0, 0, 0, 1, 13
"f:\programming\projects\Rcomputer-project\back-end\resources\views\vendor\mail\html\layout.blade.php", "PHP", 0, 0, 51, 0, 0, 0, 0, 0, 7, 58
"f:\programming\projects\Rcomputer-project\back-end\resources\views\vendor\mail\html\message.blade.php", "PHP", 0, 0, 29, 0, 0, 0, 0, 0, 4, 33
"f:\programming\projects\Rcomputer-project\back-end\resources\views\vendor\mail\html\panel.blade.php", "PHP", 0, 0, 13, 0, 0, 0, 0, 0, 2, 15
"f:\programming\projects\Rcomputer-project\back-end\resources\views\vendor\mail\html\subcopy.blade.php", "PHP", 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"f:\programming\projects\Rcomputer-project\back-end\resources\views\vendor\mail\html\table.blade.php", "PHP", 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"f:\programming\projects\Rcomputer-project\back-end\resources\views\vendor\mail\html\themes\default.css", "CSS", 0, 229, 0, 0, 0, 0, 0, 12, 50, 291
"f:\programming\projects\Rcomputer-project\back-end\resources\views\vendor\mail\text\button.blade.php", "PHP", 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"f:\programming\projects\Rcomputer-project\back-end\resources\views\vendor\mail\text\footer.blade.php", "PHP", 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"f:\programming\projects\Rcomputer-project\back-end\resources\views\vendor\mail\text\header.blade.php", "PHP", 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"f:\programming\projects\Rcomputer-project\back-end\resources\views\vendor\mail\text\layout.blade.php", "PHP", 0, 0, 6, 0, 0, 0, 0, 0, 4, 10
"f:\programming\projects\Rcomputer-project\back-end\resources\views\vendor\mail\text\message.blade.php", "PHP", 0, 0, 24, 0, 0, 0, 0, 0, 4, 28
"f:\programming\projects\Rcomputer-project\back-end\resources\views\vendor\mail\text\panel.blade.php", "PHP", 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"f:\programming\projects\Rcomputer-project\back-end\resources\views\vendor\mail\text\subcopy.blade.php", "PHP", 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"f:\programming\projects\Rcomputer-project\back-end\resources\views\vendor\mail\text\table.blade.php", "PHP", 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"f:\programming\projects\Rcomputer-project\back-end\resources\views\vendor\pagination\bootstrap-4.blade.php", "PHP", 0, 0, 43, 0, 0, 0, 0, 0, 4, 47
"f:\programming\projects\Rcomputer-project\back-end\resources\views\vendor\pagination\bootstrap-5.blade.php", "PHP", 0, 0, 82, 0, 0, 0, 0, 0, 7, 89
"f:\programming\projects\Rcomputer-project\back-end\resources\views\vendor\pagination\default.blade.php", "PHP", 0, 0, 43, 0, 0, 0, 0, 0, 4, 47
"f:\programming\projects\Rcomputer-project\back-end\resources\views\vendor\pagination\semantic-ui.blade.php", "PHP", 0, 0, 33, 0, 0, 0, 0, 0, 4, 37
